state, date, registeredUsers, appOpens
arunachal-pradesh,2023-2Q,426410,106089520
arunachal-pradesh,2023-1Q,408273,88997458
arunachal-pradesh,2018-4Q,61852,0
arunachal-pradesh,2018-3Q,45922,0
arunachal-pradesh,2018-2Q,32883,0
arunachal-pradesh,2018-1Q,21495,0
arunachal-pradesh,2020-4Q,231292,4472667
arunachal-pradesh,2020-3Q,206046,4003421
arunachal-pradesh,2020-2Q,177534,3387006
arunachal-pradesh,2020-1Q,149066,2598321
chandigarh,2024-2Q,782791,3351127
chandigarh,2024-1Q,754849,2680802
chandigarh,2021-4Q,512092,11603954
chandigarh,2021-3Q,480463,6378807
chandigarh,2021-2Q,448572,4733924
chandigarh,2021-1Q,419998,7919533
chandigarh,2022-4Q,627563,15308862
chandigarh,2022-3Q,598698,2173356
chandigarh,2022-2Q,569582,2285979
chandigarh,2022-1Q,541549,2321685
chandigarh,2019-4Q,289590,4960441
chandigarh,2019-3Q,267337,4625196
chandigarh,2019-2Q,240439,1220176
chandigarh,2019-1Q,209175,0
chandigarh,2023-4Q,727594,35719991
chandigarh,2023-3Q,704144,1924922
chandigarh,2023-2Q,678662,1978988
chandigarh,2023-1Q,654522,2001065
chandigarh,2018-4Q,177747,0
chandigarh,2018-3Q,143893,0
chandigarh,2018-2Q,115219,0
chandigarh,2018-1Q,86268,0
chandigarh,2020-4Q,391402,6477974
chandigarh,2020-3Q,362588,4888739
chandigarh,2020-2Q,336351,3451250
chandigarh,2020-1Q,312887,5201211
odisha,2024-2Q,18078622,1439371537
odisha,2024-1Q,17393166,1247351109
odisha,2021-4Q,11399235,567351446
odisha,2021-3Q,10652490,492879704
odisha,2021-2Q,9891029,367576494
odisha,2021-1Q,9233009,301315474
odisha,2022-4Q,14127239,726099254
odisha,2022-3Q,13493282,725475924
odisha,2022-2Q,12801990,670311093
odisha,2022-1Q,12124779,613855465
odisha,2019-4Q,6115537,189905719
odisha,2019-3Q,5387209,130181456
odisha,2019-2Q,4845359,33955545
odisha,2019-1Q,4320744,0
odisha,2023-4Q,16680992,701305081
odisha,2023-3Q,16064459,1002230051
odisha,2023-2Q,15420061,918449931
odisha,2023-1Q,14787083,929487633
odisha,2018-4Q,3623911,0
odisha,2018-3Q,2795718,0
odisha,2018-2Q,2185781,0
odisha,2018-1Q,1594015,0
odisha,2020-4Q,8598751,270085293
odisha,2020-3Q,7901755,205597666
odisha,2020-2Q,7258315,154682772
odisha,2020-1Q,6652970,175918622
nagaland,2024-2Q,414876,60494356
