date, registeredUsers, appOpens
2018-1Q,Others,6321,0.11868639453227683
2020-4Q,Vivo,71995,0.2428219215967999
2020-4Q,Xiaomi,68314,0.23040678869315634
2020-4Q,Samsung,50714,0.1710461967061617
2020-4Q,Oppo,36932,0.12456280586725488
2020-4Q,Realme,20993,0.07080436974903286
2020-4Q,Apple,5335,0.01799367944605775
2020-4Q,Motorola,4712,0.01589244940015447
2020-4Q,Huawei,4635,0.01563274681021137
2020-4Q,Lenovo,4516,0.015231388262117486
2020-4Q,OnePlus,3173,0.010701770362200795
2020-4Q,Others,25174,0.08490588310685244
2020-3Q,Vivo,63527,0.23708881640330515
2020-3Q,Xiaomi,62612,0.2336739492285759
2020-3Q,Samsung,46194,0.17240040903764192
2020-3Q,Oppo,33220,0.12398020496667239
2020-3Q,Realme,18327,0.06839811006695379
2020-3Q,Apple,4852,0.018108126264247272
2020-3Q,Motorola,4473,0.016693662155807514
2020-3Q,Huawei,4325,0.01614131205541415
2020-3Q,Lenovo,4294,0.01602561710195338
2020-3Q,OnePlus,2971,0.011088055055869466
2020-3Q,Others,23151,0.08640173766355908
2020-2Q,Xiaomi,58073,0.2372127411014076
2020-2Q,Vivo,56525,0.230889573308716
2020-2Q,Samsung,42346,0.17297213394658803
2020-2Q,Oppo,29921,0.12221931752269069
2020-2Q,Realme,16175,0.06607056785968123
2020-2Q,Apple,4502,0.0183894711903731
2020-2Q,Motorola,4308,0.017597032849428547
2020-2Q,Lenovo,4157,0.01698023805828098
2020-2Q,Huawei,4069,0.016620781491254587
2020-2Q,OnePlus,2817,0.011506694878560866
2020-2Q,Others,21921,0.08954144779301837
2020-1Q,Xiaomi,52683,0.24111654217926187
2020-1Q,Vivo,48874,0.2236837287639133
2020-1Q,Samsung,38134,0.174529510837727
2020-1Q,Oppo,26282,0.12028595489162273
2020-1Q,Realme,13927,0.06374029730521383
2020-1Q,Apple,4178,0.01912163151728178
2020-1Q,Motorola,4028,0.018435120093731692
2020-1Q,Lenovo,3944,0.018050673696543645
2020-1Q,Huawei,3732,0.017080404217926188
2020-1Q,OnePlus,2682,0.012274824253075571
2020-1Q,Others,20032,0.0916813122437024
2024-2Q,null,null,null
2024-1Q,null,null,null
2021-4Q,Xiaomi,57355,0.23871260425857793
2021-4Q,Samsung,41499,0.17271962974678276
2021-4Q,Vivo,38748,0.16126991526129156
2021-4Q,Oppo,31903,0.13278089466762116
2021-4Q,Realme,24878,0.10354271063978557
2021-4Q,Apple,4556,0.018962158922536502
2021-4Q,Huawei,3875,0.016127823929944895
2021-4Q,Motorola,3123,0.012997985582765912
2021-4Q,Asus,3113,0.012956365391978957
2021-4Q,HMD Global,3095,0.012881449048562438
2021-4Q,Others,28123,0.11704846255015233
2021-3Q,Xiaomi,52800,0.23670230650258894
2021-3Q,Samsung,39809,0.17846367650684777
2021-3Q,Vivo,36214,0.16234729787281735
2021-3Q,Oppo,29861,0.13386681012261
2021-3Q,Realme,20601,0.09235424652007262
2021-3Q,Apple,4026,0.018048550870822407
2021-3Q,Huawei,3953,0.01772129200008966
2021-3Q,Motorola,3086,0.013834532535359649
2021-3Q,Asus,3078,0.013798668549525923
2021-3Q,Micromax,3036,0.013610382623898864
2021-3Q,Others,26601,0.11925223589536682
2021-2Q,Xiaomi,48812,0.23731318611864688
2021-2Q,Samsung,38364,0.1865173127971763
2021-2Q,Vivo,32487,0.15794463405384906
2021-2Q,Oppo,27101,0.13175908909697306
2021-2Q,Realme,17555,0.0853485409799403
2021-2Q,Apple,3658,0.017784389798041676
2021-2Q,Huawei,3596,0.017482959462481646
2021-2Q,Asus,3185,0.015484768044495006
