state, date, name, count, amount
tamil-nadu,2023-4Q,kancheepuram district,6875,8403688.0
tamil-nadu,2023-4Q,tiruppur district,5883,8071753.0
tamil-nadu,2023-4Q,dharmapuri district,873,1263490.0
tamil-nadu,2023-4Q,thoothukkudi district,907,1457770.0
tamil-nadu,2023-4Q,thanjavur district,1407,2075531.0
tamil-nadu,2023-4Q,madurai district,4414,5508470.0
tamil-nadu,2023-4Q,tiruvannamalai district,1036,1430550.0
tamil-nadu,2023-4Q,salem district,3180,4420307.0
tamil-nadu,2023-4Q,nagapattinam district,854,1134183.0
tamil-nadu,2023-4Q,tirupathur district,669,1068817.0
tamil-nadu,2023-4Q,ariyalur district,372,464685.0
tamil-nadu,2023-4Q,chennai district,18144,19953865.0
tamil-nadu,2023-4Q,the nilgiris district,718,1517410.0
tamil-nadu,2023-4Q,erode district,2404,3568004.0
tamil-nadu,2023-4Q,karur district,707,1047957.0
tamil-nadu,2023-4Q,kallakkurichi district,472,672872.0
tamil-nadu,2023-4Q,viluppuram district,1284,1936817.0
tamil-nadu,2023-4Q,pudukkottai district,588,917795.0
tamil-nadu,2023-4Q,perambalur district,236,323301.0
tamil-nadu,2023-4Q,coimbatore district,11552,16411541.0
tamil-nadu,2023-4Q,virudhunagar district,925,1311831.0
tamil-nadu,2023-4Q,dindigul district,1396,2302850.0
tamil-nadu,2023-4Q,sivaganga district,773,1132557.0
tamil-nadu,2023-4Q,tenkasi district,636,920704.0
tamil-nadu,2023-4Q,chengalpattu district,11085,14820002.0
tamil-nadu,2023-4Q,kanniyakumari district,1196,2137532.0
tamil-nadu,2023-4Q,tirunelveli district,1313,1737016.0
tamil-nadu,2023-4Q,thiruvallur district,12314,14959202.0
tamil-nadu,2023-4Q,theni district,936,1403542.0
tamil-nadu,2023-4Q,ranipet district,893,1241927.0
tamil-nadu,2023-4Q,namakkal district,1329,1930753.0
tamil-nadu,2023-4Q,vellore district,1207,1823526.0
tamil-nadu,2023-4Q,thiruvarur district,578,770611.0
tamil-nadu,2023-3Q,tiruchirappalli district,2159,2940470.0
tamil-nadu,2023-3Q,ramanathapuram district,416,573665.0
tamil-nadu,2023-3Q,krishnagiri district,2762,3917713.0
tamil-nadu,2023-3Q,cuddalore district,1568,2412390.0
tamil-nadu,2023-3Q,kancheepuram district,6210,7517191.0
tamil-nadu,2023-3Q,tiruppur district,4011,5538630.0
tamil-nadu,2023-3Q,dharmapuri district,723,1208053.0
tamil-nadu,2023-3Q,thoothukkudi district,742,1228771.0
tamil-nadu,2023-3Q,thanjavur district,1271,1715958.0
tamil-nadu,2023-3Q,madurai district,3482,3880637.0
tamil-nadu,2023-3Q,tiruvannamalai district,905,1301476.0
tamil-nadu,2023-3Q,salem district,2839,3721101.0
